,raw_text,with_accent
0,агрессивный,агресс+ивный
1,агрессия,агр+ессия
2,агрономия,агрон+омия
3,адаптер,ад+аптер
4,адекватный,адекв+атный
5,адепт,ад+епт
6,адюльтер,адюльт+ер
7,азербайджанец,азербайдж+анец
8,айва,айв+а
9,академия,акад+емия
10,акафист,ак+афист
11,акварель,аквар+ель
12,акклиматизация,акклиматиз+ация
13,аккомпанемент,аккомпанем+ент
14,аккомпанировать,аккомпан+ировать
15,аккорд,акк+орд
16,аккордеон,аккорде+он
17,аккредитив,аккредит+ив
18,абитуриент,абитури+ент
19,абрис,+абрис
20,абсент,абс+ент
21,абстракционизм,абстракцион+изм
22,абсцесс,абсц+есс
23,авангардизм,авангард+изм
24,авангардистский,авангард+истский
25,авантюризм,авантюр+изм
26,августовский,+августовский
27,австралопитек,австралопит+ек
28,автозаводский,автозав+одский
29,автоматизм,автомат+изм
30,автосервис,автос+ервис
31,ага,аг+а
32,агент,аг+ент
33,агентство,аг+ентство
34,аккумулятор,аккумул+ятор
35,аккуратный,аккур+атный
36,аксессуары,аксессу+ары
37,алкоголь,алког+оль
38,аллегорический,аллегор+ический
39,аллергия,аллерг+ия
40,аллея,алл+ея
41,аллигатор,аллиг+атор
42,алый,+алый
43,альпинизм,альпин+изм
44,альтернатива,альтернат+ива
45,амбар,амб+ар
46,амбра,+амбра
47,амбре,амбр+е
48,аммиак,амми+ак
49,аммоний,амм+оний
50,амстердамец,амстерд+амец
51,анатом,ан+атом
52,анафема,ан+афема
53,анахронизм,анахрон+изм
54,ангел,+ангел
55,андерграунд,андергр+аунд
56,анемия,анем+ия
57,анестезия,анестез+ия
58,аннексия,анн+ексия
59,аннотация,аннот+ация
60,аннулировать,аннул+ировать
61,антагонизм,антагон+изм
62,антенна,ант+енна
63,антисептик,антис+ептик
64,антитеза,антит+еза
65,антре,антр+е
66,антрекот,антрек+от
67,антресоли,антрес+оли
68,апартеид,апарте+ид
69,апелляция,апелл+яция
70,апокалипсис,апок+алипсис
71,апокриф,ап+окриф
72,апостроф,апостр+оф
73,аппетит,аппет+ит
74,аппликация,апплик+ация
75,аранжировать,аранж+ировать
76,аристократизм,аристократ+изм
77,аристократия,аристокр+атия
78,армрестлинг,армр+естлинг
79,артель,арт+ель
80,артерия,арт+ерия
81,артиллерия,артилл+ерия
82,артистизм,артист+изм
83,арфовый,+арфовый
84,арык,ар+ык
85,асбестовый,асб+естовый
86,асептика,ас+ептика
87,асептический,асепт+ический
88,асимметрия,асимметр+ия
89,ассамблея,ассамбл+ея
90,ассенизатор,ассениз+атор
91,ассигнация,ассигн+ация
92,ассимилировать,ассимил+ировать
93,ассимиляция,ассимил+яция
94,ассистент,ассист+ент
95,ассортимент,ассортим+ент
96,ассоциация,ассоци+ация
97,асфальт,асф+альт
98,атавизм,атав+изм
99,атеизм,ате+изм
100,атеист,ате+ист
101,атеросклероз,атеросклер+оз
102,атлет,атл+ет
103,аттестат,аттест+ат
104,аттракцион,аттракци+он
105,аудиенция,ауди+енция
106,аутодафе,аутодаф+е
107,аутсайдер,аутс+айдер
108,афазия,аф+азия
109,афера,аф+ера
110,афинянин,аф+инянин
111,афоризм,афор+изм
112,аффект,афф+ект
113,ацтек,ацт+ек
114,аэропорт,аэроп+орт
115,аэросани,аэрос+ани
116,багроветь,багров+еть
117,багрянеть,багрян+еть
118,базилик,базил+ик
119,баккара,баккар+а
120,бактерии,бакт+ерии
121,бактерицидный,бактериц+идный
122,бал,бал
123,балалаечник,балал+аечник
124,баллада,балл+ада
125,балласт,балл+аст
126,баллистика,балл+истика
127,баллон,балл+он
128,баллотировать,баллот+ировать
129,балованный,бал+ованный
130,баловать,балов+ать
131,баловать,б+аловать
132,баловаться,балов+аться
133,баловень,б+аловень
134,баловник,баловн+ик
135,балюстрада,балюстр+ада
136,бамбук,бамб+ук
137,бандероль,бандер+оль
138,банджо,б+анджо
139,бандитизм,бандит+изм
140,банкротство,банкр+отство
141,бант,бант
142,барельеф,барель+еф
143,баржа,барж+а
144,бармен,б+армен
145,барражировать,барраж+ировать
146,барракуда,баррак+уда
147,баррель,б+аррель
148,баррикада,баррик+ада
149,бартер,б+артер
150,басовый,бас+овый
151,бассейн,басс+ейн
152,батальон,баталь+он
153,баттерфляй,баттерфл+яй
154,баядера,баяд+ера
155,безвестный,безв+естный
156,безвозмездный,безвозм+ездный
157,безвыездный,безв+ыездный
158,бездарь,б+ездарь
159,бездельник,безд+ельник
160,безжалостный,безж+алостный
161,безмолвствовать,безм+олвствовать
162,безукоризненный,безукор+изненный
163,безумолчный,безум+олчный
164,бекон,бек+он
165,беллетристика,беллетр+истика
166,белорусский,белор+усский
167,бельведер,бельвед+ер
168,бельэтаж,бельэт+аж
169,бенефис,бенеф+ис
170,берёста,бер+ёста
171,берёстовый,бер+ёстовый
172,берестяной,берестян+ой
173,берет,бер+ет
174,беспрецедентный,беспрецед+ентный
175,беспринципность,беспринц+ипность
176,бессребреник,бесср+ебреник
177,бессчётный,бессч+ётный
178,бестселлер,бестс+еллер
179,бесхребетный,бесхреб+етный
180,биде,бид+е
181,бизнес,б+изнес
182,бизнесмен,бизнесм+ен
183,бильбоке,бильбок+е
184,бирманский,бирм+анский
185,бирманцы,бирм+анцы
186,биссектриса,биссектр+иса
187,бистро,бистр+о
188,бифштекс,бифшт+екс
189,благо,бл+аго
190,благовест,бл+аговест
191,блёкнуть,бл+ёкнуть
192,блеф,блеф
193,близкий,бл+изкий
194,блюдо,бл+юдо
195,большевизм,большев+изм
196,большевистский,большев+истский
197,бомбардировать,бомбардиров+ать
198,бомбовый,б+омбовый
199,бомонд,бом+онд
200,бонапартизм,бонапарт+изм
201,бонбоньерка,бонбонь+ерка
202,бонвиван,бонвив+ан
203,бондарь,б+ондарь
204,бонза,б+онза
205,бонтон,бонт+он
206,боронить,борон+ить
207,борт,борт
208,бочковый,б+очковый
209,боязнь,бо+язнь
210,брасс,брасс
211,браковщик,брак+овщик
212,брандспойт,брандсп+ойт
213,бревенчатый,брев+енчатый
214,бредовый,бред+овый
215,брейк,брейк
216,брелок,брел+ок
217,бронировать,брон+ировать
218,бронировать,брониров+ать
219,броней,бр+оней
220,броня,брон+я
221,брошюра,брош+юра
222,брусчатка,брусч+атка
223,брусчатый,брусч+атый
224,брыкаться,брык+аться
225,брюссельский,брюсс+ельский
226,бряцать,бряц+ать
227,будничный,б+удничный
228,будочник,б+удочник
229,буксировать,букс+ировать
230,булавочный,бул+авочный
231,булочная,б+улочная
232,бульон,буль+он
233,бунгало,б+унгало
234,бундесвер,бундесв+ер
235,бундестаг,бундест+аг
236,буриме,бурим+е
237,бурить,бур+ить
238,бутерброд,бутербр+од
239,бьюик,бь+юик
240,бюллетень,бюллет+ень
241,бюрократизм,бюрократ+изм
242,бюрократия,бюрокр+атия
243,валовой,валов+ой
244,вальдшнеп,в+альдшнеп
245,вальсовый,в+альсовый
246,вандализм,вандал+изм
247,варьете,варьет+е
248,ватерпас,ватерп+ас
249,ватник,в+атник
250,ваяние,ва+яние
251,введён,введ+ён
252,ввезённый,ввез+ённый
253,ввезён,ввез+ён
254,вдолбить,вдолб+ить
255,ведёрный,вед+ёрный
256,ведро,ведр+о
257,вендетта,венд+етта
258,верба,в+ерба
259,верблюдица,вербл+юдица
260,вербовщик,верб+овщик
261,вердикт,верд+икт
262,вересковый,в+ересковый
263,вероисповедание,вероиспов+едание
264,вертеп,верт+еп
265,вертеть,верт+еть
266,веснушчатый,весн+ушчатый
267,веснушчат,весн+ушчат
268,вестерн,в+естерн
269,ветеринария,ветерин+ария
270,вечеря,в+ечеря
271,веяние,в+еяние
272,взаперти,взаперт+и
273,взапуски,вз+апуски
274,взрыхлённый,взрыхл+ённый
275,взрыхлён,взрыхл+ён
276,взрыхленный,взр+ыхленный
277,взятый,вз+ятый
278,взята,взят+а
279,взята,вз+ята
280,взять,взять
281,взял,взял
