,mult_accents
0,"ала: ал+а, +ала"
1,"баржам: барж+ам, б+аржа"
2,"баржа: барж+ам, б+аржа"
3,"батуд: бат+уд, бат+ут"
4,"батут: бат+уд, бат+ут"
5,"биеннале : биенн+але , бьенн+але"
6,"бьеннале: биенн+але , бьенн+але"
7,"бижутерия: бижут+ерия, бижутер+ия"
8,"блицкриг: бл+ицкриг, блицкр+иг"
9,"весельный: вес+ельный, в+ёсельный"
10,"вё+сельный: вес+ельный, вёсельный"
11,"вё+сельный: вес+ельный, вёсел+ьный"
12,"взашей: вз+ашей, взаш+ей"
13,"двуголосный: двугол+осный, двухгол+осный"
14,"двухголосный: двугол+осный, двухгол+осный"
15,"двузначный: двузн+ачный, двухзн+ачный"
16,"двухзначный: двузн+ачный, двухзн+ачный"
17,"джинсовый: джи+нсовый, джинс+овый"
18,"долитый: д+олитый, дол+итый"
19,"досыта: д+осыта, дос+ыта"
20,"жизнен: ж+изнен, ж+изненен"
21,"жизненен: ж+изнен, ж+изненен"
22,"завял: зав+ял, зав+янул"
23,"завянул: зав+ял, зав+янул"
24,"загас: заг+ас, заг+аснул"
25,"загаснул: заг+ас, заг+аснул"
26,"зажухнул: заж+ухнул, заж+ух"
27,"зажух: заж+ухнул, заж+ух"
28,"замерший: з+амерший, зам+ерший"
29,"камфарный: камф+арный, к+амфорный"
30,"камфорный: камф+арный, к+амфорный"
31,"кетовый: ке+товый, кет+овый"
32,"клаксон: кл+аксон, клакс+он"
33,"комбайнер: комб+айнер, комбайн+ёр"
34,"комбайнё+р: комб+айнер, комбайнёр"
35,"комбайнё+р: комб+айнер, комбайнёр+"
36,"ланч: ['ланч', 'ленч']"
37,"ленч: ['ланч', 'ленч']"
38,"л+ёгенький: л+ёгенький, лёгонький"
39,"л+ёгенький: л+ёгенький, лёго+нький"
40,"л+ёгонький: л+ёгенький, лёгонький"
41,"л+ёгонький: л+ёгенький, лёго+нький"
42,"лобзать: лобз+ать, лобыз+ать"
43,"лобызать: лобз+ать, лобыз+ать"
44,"лягушачий: лягуш+ачий, ляг+ушечий"
45,"лягушечий: лягуш+ачий, ляг+ушечий"
46,"матрас: матр+ас, матр+ац"
47,"матрац: матр+ас, матр+ац"
48,"матрасный: матр+асный, матр+ацный"
